ev_id,lat,lon,dep,YYYY,MM,DD,HH,mm,ss
1,-8.289702,115.487817,1.026,2017,10,18,2,4,50.51
2,-8.284549,115.458211,6.666,2017,10,18,2,17,43.98
3,-8.31488,115.427189,5.314,2017,10,18,2,22,38.23
4,-8.288098,115.4545,6.583,2017,10,18,2,31,31.53
6,-8.307539,115.483984,0.987,2017,10,18,2,35,24.35
7,-8.292469,115.487467,1.144,2017,10,18,2,37,29.05
8,-8.297007,115.436816,9.887,2017,10,18,2,44,31.36
9,-8.28649,115.460295,7.449,2017,10,18,2,45,6
10,-8.279189,115.468424,5.774,2017,10,18,2,47,17.56
11,-8.266429,115.479093,6.455,2017,10,18,2,54,43.77
12,-8.27483,115.484351,5.39,2017,10,18,2,55,53.66
13,-8.29156,115.487508,0.985,2017,10,18,3,1,8.58
14,-8.275332,115.485815,2.549,2017,10,18,3,3,20.87
15,-8.268621,115.463574,7.858,2017,10,18,3,5,39.23
16,-8.302464,115.442489,11.145,2017,10,18,3,6,42.46
17,-8.300056,115.449162,8.959,2017,10,18,3,11,26.65
18,-8.292448,115.488346,1.106,2017,10,18,3,14,47.18
19,-8.283535,115.440324,11.178,2017,10,18,3,27,17.51
20,-8.300792,115.446273,9.355,2017,10,18,3,30,36.28
21,-8.30306,115.424845,4.875,2017,10,18,3,32,49.04
22,-8.287928,115.487809,1.054,2017,10,18,3,33,42.3
24,-8.285248,115.491479,0.715,2017,10,18,3,40,26.83
25,-8.291747,115.489673,1.115,2017,10,18,3,41,3.69
26,-8.28222,115.466081,5.735,2017,10,18,3,56,14.11
27,-8.27196,115.490967,2.438,2017,10,18,4,0,59.35
28,-8.279927,115.442326,9.923,2017,10,18,4,1,25.42
29,-8.292716,115.447135,8.079,2017,10,18,4,2,32.09
30,-8.295068,115.486694,1.118,2017,10,18,4,8,37.66
31,-8.287195,115.464331,2.848,2017,10,18,4,9,12.44
32,-8.292616,115.487817,1.108,2017,10,18,4,12,31.96
33,-8.279129,115.464372,6.061,2017,10,18,4,13,28.2
34,-8.291803,115.490999,1.061,2017,10,18,4,16,42.15
35,-8.289899,115.445801,6.35,2017,10,18,4,21,58.26
36,-8.288418,115.48798,1.165,2017,10,18,4,24,46.96
37,-8.291895,115.489494,1.214,2017,10,18,4,27,18.99
38,-8.297203,115.489478,1.043,2017,10,18,4,33,41.33
39,-8.245468,115.468327,8.813,2017,10,18,4,34,20.77
40,-8.292186,115.488159,1.058,2017,10,18,4,36,32.07
41,-8.287283,115.445304,6.942,2017,10,18,4,38,18.35
43,-8.286528,115.404899,10.664,2017,10,18,5,3,4.1
44,-8.32264,115.403507,8.027,2017,10,18,5,8,13.44
45,-8.292503,115.487305,1.1,2017,10,18,5,10,33.38
46,-8.296375,115.4396,9.93,2017,10,18,5,16,33.95
47,-8.291998,115.487948,1.071,2017,10,18,5,17,18.91
48,-8.290393,115.435205,7.811,2017,10,18,5,27,21.79
49,-8.286328,115.442839,7.011,2017,10,18,5,32,58.62
50,-8.293484,115.488867,0.906,2017,10,18,5,37,22.66
51,-8.271576,115.481274,5.442,2017,10,18,5,38,12.18
