Magnitude,Date,Year,Month,Day,Northing,Easting,Depth,snr
1.673747571,2:04:51 AM,2017,10,18,-8.289702,115.487817,-1026,2.15850058
1.635624681,2:17:44 AM,2017,10,18,-8.284549,115.458211,-6666,4.095160295
2.463681116,2:22:38 AM,2017,10,18,-8.31488,115.427189,-5314,28.07825122
1.699325933,2:31:32 AM,2017,10,18,-8.288098,115.4545,-6583,3.305889773
1.36871116,2:35:24 AM,2017,10,18,-8.307539,115.483984,-987,3.299039991
1.555988815,2:37:29 AM,2017,10,18,-8.292469,115.487467,-1144,2.837826384
1.791842265,2:47:18 AM,2017,10,18,-8.279189,115.468424,-5774,2.823898297
2.17684235,2:54:44 AM,2017,10,18,-8.266429,115.479093,-6455,13.04802637
1.895996623,2:55:54 AM,2017,10,18,-8.27483,115.484351,-5390,2.014116061
1.947668424,3:01:09 AM,2017,10,18,-8.29156,115.487508,-985,12.63162516
1.655450512,3:03:21 AM,2017,10,18,-8.275332,115.485815,-2549,3.550020861
2.539576255,3:05:39 AM,2017,10,18,-8.268621,115.463574,-7858,29.62366186
2.291300669,3:11:27 AM,2017,10,18,-8.300056,115.449162,-8959,16.14287673
1.722569651,3:14:47 AM,2017,10,18,-8.292448,115.488346,-1106,4.561268493
2.018411226,3:27:18 AM,2017,10,18,-8.283535,115.440324,-11178,4.68657132
2.096058568,3:30:36 AM,2017,10,18,-8.300792,115.446273,-9355,2.751399753
2.148370397,3:32:49 AM,2017,10,18,-8.30306,115.424845,-4875,10.93475889
1.72390451,3:40:27 AM,2017,10,18,-8.285248,115.491479,-715,4.113665782
2.115520449,3:41:04 AM,2017,10,18,-8.291747,115.489673,-1115,8.799080192
1.730336544,3:56:14 AM,2017,10,18,-8.28222,115.466081,-5735,3.109676717
1.50790139,4:00:59 AM,2017,10,18,-8.27196,115.490967,-2438,2.763731008
2.585659081,4:01:25 AM,2017,10,18,-8.279927,115.442326,-9923,25.60394775
2.257819244,4:02:32 AM,2017,10,18,-8.292716,115.447135,-8079,3.803911299
1.468940864,4:08:38 AM,2017,10,18,-8.295068,115.486694,-1118,2.832079897
1.649798696,4:09:12 AM,2017,10,18,-8.287195,115.464331,-2848,3.952927874
1.777250786,4:12:32 AM,2017,10,18,-8.292616,115.487817,-1108,2.914507077
2.280053532,4:13:28 AM,2017,10,18,-8.279129,115.464372,-6061,20.12698731
1.93887263,4:16:42 AM,2017,10,18,-8.291803,115.490999,-1061,9.670694604
2.050487052,4:21:58 AM,2017,10,18,-8.289899,115.445801,-6350,6.911068022
1.616803749,4:24:47 AM,2017,10,18,-8.288418,115.48798,-1165,3.047673417
2.191271881,4:27:19 AM,2017,10,18,-8.291895,115.489494,-1214,11.88521707
